id,"name,text",capacity,url,is_free,"description,text"
39130956745,Hurricane Harvey Benefit Concert,3000,https://www.eventbrite.com/e/hurricane-harvey-benefit-concert-tickets-39130956745?aff=ebapi,False,"The Hurricane Harvey Benefit Concert is a fundraising opportunity to continue to raise awareness around the recovery efforts of those affected and to celebrate the good deeds of those who've already given so much to the recovery effort.
Join us as we gather at the No Label Brewing Co. for a concert of live music from Charlie Robison, Max Stalling, and John Baumann.  There will be plenty of food and drinks available for purchase as we continue to raise money and awareness around the relief efforts.
All proceeds go to Hurricane Harvey Relief."
39701023831,The Hurricane Harvey Information Luncheon,60,https://www.eventbrite.com/e/the-hurricane-harvey-information-luncheon-tickets-39701023831?aff=ebapi,True,"Join us at the Hurricane Harvey Information Luncheon. This no-cost event has extremely limited seating.
RSVP today to reserve your spot to hear Pat O'Connor discuss how you (or a friend or neighbor) can get a tax refund from the IRS to assist with flood recovery efforts. 
RSVP NOW to save your seat at the table! 
Can't attend on Wednesday?
Visit www.Aid4Harvey.com to find out more information on how you can get a Federal Income Tax Refund if you were flooded by Hurricane Harvey. "
39257923506,Health Care after Hurricane Harvey,300,https://www.eventbrite.com/e/health-care-after-hurricane-harvey-registration-39257923506?aff=ebapi,False,"The Texas Tribune is pleased to present, in partnership with Blue Cross and Blue Shield of Texas, a three-part conversation series on where the state is headed on health care. Join us in person or on our livestream for the third installment of this series: a discussion of the health care landscape following Hurricane Harvey.

Our panelists are:

State Rep. Sarah Davis, R-West University Place
Elena Marks, president and CEO of the Episcopal Health Foundation
Umair Shah, executive director of Harris County Public Health

Brandon Formby, urban affairs reporter for The Texas Tribune, will moderate this event.

Details
This event will be held in the Houston Endowment Lecture Hall, located on the second floor of the Texas Woman's University Institute of Health Sciences – Houston Center. The event is free, open to the public and includes a light lunch. Paid visitor parking is available in the Methodist Hospital parking garage located directly behind the TWU building (parking fee not included in registration).


This series of conversations on health care is presented by Blue Cross and Blue Shield of Texas. This event is supported by Fibertown and Southwest Airlines, the official airline of Texas Tribune Events. It is hosted by Texas Woman's University. Foundation support is provided by the Houston Endowment. Tribune events are also supported through contributions from our founding investors and members. Though donors and corporate sponsors underwrite The Texas Tribune events, they play no role in determining the content, panelists or line of questioning."
38786072186,Lessons Learned-90 Day Post Hurricane Harvey,40,https://www.eventbrite.com/e/lessons-learned-90-day-post-hurricane-harvey-tickets-38786072186?aff=ebapi,True,"You're invited to TDIndustries Lunch and Learn event with National IPA.  We will be discussing lessons we've learned from hurricane Harvey and the preventative measures and maintenance before and after another natural disaster.  
There will be a catered lunch, door prizes and some great information.
Please feel free to stick around after the event for a tour of our new facility.
"
37555582759,Help Hurricane Harvey Victims by Donating Today,0,https://www.eventbrite.com/e/help-hurricane-harvey-victims-by-donating-today-tickets-37555582759?aff=ebapi,False,"Here at Taste of Texas we think family is a very big deal so when Texas was striked by an unexpected natural disaster by the name of Hurricane Harvey it hit our hearts and made us want to try to make a cause for the victims. This storm crashed into the gulf coast by Corpus Christi, TX and wreaked havoc into Houston where it destroyed the United States 4th largest city. The city of Houston is completely destroyd and people are wondering how they ar going to make it out of this disaster. Thats where we as a people come in. With a simple donation today you can help a family who has lost everything have something to eat, drink, and shelter to keep them dry. Please help these innocent people and thank you for your contributions."
38593549345,REPLAY w/Mega Ran - Hurricane Harvey Children's Relief Fund,500,https://www.eventbrite.com/e/replay-wmega-ran-hurricane-harvey-childrens-relief-fund-tickets-38593549345?aff=ebapi,False,"Join REPLAY as we host a benefit for Hurricane Harvey Children's Relief Fund.
Please come out and support an amazingly great charity while playing some games and listening to some great music! MEGA RAN will be performing and he will have his very own game, Tales of the Element, out to try! There will also be some great prizes and drawings for tons of free games and other surprises! All going to benefit Hurrican Harvey Children's Relief Fund! Mega Ran will have an early performance, so we recommend you get there early!
We will have games from:Tiny BuildHeadbang StudiosNew Blood InteractiveImagos StudiosImplosive GamesRandom Beats...and some surprises!
There are 2 options for tickets:
1. Reservation (limited capacity)
2. Donation with NO admission
Doors:November 19th from 3p-8p
Generously sponsored by:Corsair - http://www.corsair.com/en-usLazybit Collective - http://lazybit.co/Imagos Studios - http://www.imagossoftworks.comTiny Build - http://www.tinybuild.com"
39417274128,Impact Experience - Hurricane Harvey Entrepreneurial Response Pt. 2,30,https://www.eventbrite.com/e/impact-experience-hurricane-harvey-entrepreneurial-response-pt-2-tickets-39417274128?aff=ebapi,False,"On August 26, 2017 Hurricane Harvey made landfall in Houston, TX. The hurricane brought with it, severe thunderstorms, tornadoes, and over the course of the next 5 days, more than 52 inches of rain - topping the record for tropical cyclone rainfall in the US in the last 50 years. The extensive flooding in the Houston area caused an 82 deaths and displaced approximately 39,000 people. It has been estimated that Harvey will cost the US over $190B, making it the most expensive storm in history, and exceeding Hurricane Katrina, which devastated the New Orleans area in 2005, by over $30B.
Our initial strategy session was held on September 23, 2017 in Austin, TX in which we brought together industry leaders from disaster relief organizations, advertising executives, venture capitalists, technology experts, entrepreneurs and startup incubator experts, educators, community activists and thought leaders in diversity and inclusion. During this session we were able to clearly identify several high level areas of concern for the communities of Houston as well as key areas of focus / potential solutions that can make a big impact on the post-Harvey landscape through entrepreneurial deployment.
The goal of our next session will be to build upon the strategies identified in the first Impact Experience, to bring together a specific set of investors, foundations, entrepreneurs and community leaders from the affected areas, to co-create solutions that empower entrepreneurs and include their voice in the rebuilding of their communities.
We cordially invite participants from the initial strategy session, as well as new participants from the aforementioned sectors who are committed to seeing Houston rebuilt with an eye on equity, inclusion and sustainability. We hope you can join us!
Sincerely,
The Impact Experience Team"
39531616128,Brandalyn Gill 7 Year Book Anniversary and Hurricane Harvey Fundraiser,50,https://www.eventbrite.com/e/brandalyn-gill-7-year-book-anniversary-and-hurricane-harvey-fundraiser-tickets-39531616128?aff=ebapi,False,"Brandalyn Gill, HISD Endorsed motivational speaker, author of ""Life"": A book of short stories and poems, and production assistant at the Ensemble Theater, is hosting a Hurricane Harvey Fundraiser and 7 year anniversary of her book ""Life"", published under Paula McCann Harris (previous District IV President of Board of Education for HISD). Fifty percent of proceeds will go to 5 families pre-selected. Still seeking sponsorship for a booth and/or charitable offering only by emailing www.brandalyngill.com. Also, email stories for those denied FEMA or Red Cross Sponsporship to brandalyngill@brandalyngill.com "
39749781667,Honoring Harvey Heroes ,500,https://www.eventbrite.com/e/honoring-harvey-heroes-tickets-39749781667?aff=ebapi,True,"Many of us stayed home during Hurricane Harvey. Others sacrificed everything. Let’s celebrate and honor Hurricane Harvey responders who led recovery efforts!! #TheRealChamps RSVP IS REQUIRED: This storm and its following flood became one of Houston’s most challenging periods in its history. Join us for an evening dedicated to honoring and celebrate organizations and self-made, real-life heroes during Harvey!! This event will consist of a recognition ceremony immediately followed by a community celebration to honor the leaders, nonprofit organizations, government agencies, media partners, and others who served during Hurricane Harvey! WHO: Citizenship Month & Houston Millennials  WHAT: Honoring Harvey HeroesWHEN: Tuesday, November 14 WHERE: Axelrad – 1517 Alabama Street, HTX START TIME: 5:30p CEREMONY: 6:00p ADDITIONAL: Complimentary lite bites for 300 (1st come, 1st serve)  POINT OF CONTACT:  Houston Millennials VP Victoria Lara Houston Millennials President Ivan Sanchez  While our recovery efforts are far from over, we believe that an important part of the process is to take a moment to honor those who embody the values of service and civic-engagement that Citizenship Month celebrates each November. Thank you for you commitment to Houston, and we hope to see you on November 14th. Together, we are #HoustonStrong"
39589886416,Hope After Harvey Music Fest,500,https://www.eventbrite.com/e/hope-after-harvey-music-fest-tickets-39589886416?aff=ebapi,True,"Please join us for a Sunday Funday of live music from FIVE bands: Paper Wolf, Soul Sound System, Tribus, Pin Oak Stage Band (Rock), Bayou City Ramblers
All money raised will go towards helping 93 families at Lovett Elementary who are trying to rebuild after Hurricane Harvey. We will be raffling off over$3,500 in gift cards and other prizes including 2 signed items by Astros/World Series pitcher Lance McCullers, Swagtron Electric Bikes (2) , Whitney Mercilus signed Texans Football ! Selling t-shirts and other gifts. Pub Galleria will be donating 10% of food/drink sales to this cause.
Early birds will receive free Fedora Hat.
Free Admission (suggested donation).  Family Friendly.  Great menu.
100% of all money raised at this event will be going towards families."
